! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:16:36 PM
! D:\MESURE_MONTURE_07092022\LIGNE_35MM_4ROGERS.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.002742631     0.0002335    0.0027765     1.0012290   -0.0040319     0.9986487   -0.0041640    -0.0000304    0.0028752 
   0.002759660     0.0002145    0.0028207     1.0011650   -0.0041474     0.9987248   -0.0042062    -0.0000540    0.0029043 
   0.002776794     0.0002124    0.0028373     1.0013540   -0.0042448     0.9987750   -0.0041409    -0.0000281    0.0029087 
   0.002794035     0.0002307    0.0028467     1.0013510   -0.0041429     0.9985819   -0.0041735    -0.0000366    0.0029313 
   0.002811383     0.0002294    0.0028519     1.0013090   -0.0043455     0.9988036   -0.0043434    -0.0000307    0.0029394 
   0.002828838     0.0002314    0.0028849     1.0012260   -0.0042398     0.9987251   -0.0042046    -0.0000296    0.0029582 
   0.002846402     0.0002150    0.0029171     1.0012220   -0.0043368     0.9986336   -0.0042656    -0.0000507    0.0029776 
   0.002864075     0.0002309    0.0029128     1.0013180   -0.0043052     0.9987759   -0.0043026    -0.0000295    0.0030014 
   0.002881858     0.0002365    0.0029215     1.0014090   -0.0044126     0.9986753   -0.0043863    -0.0000477    0.0030076 
   0.002899751     0.0002259    0.0029685     1.0012170   -0.0043506     0.9986407   -0.0043568    -0.0000523    0.0030501 
   0.002917755     0.0002110    0.0029847     1.0013720   -0.0044120     0.9987299   -0.0044359    -0.0000281    0.0030340 
   0.002935871     0.0002348    0.0030067     1.0013760   -0.0044808     0.9986894   -0.0043862    -0.0000212    0.0030642 
   0.002954100     0.0002275    0.0030189     1.0013300   -0.0044470     0.9986914   -0.0045244    -0.0000235    0.0030701 
   0.002972441     0.0002275    0.0030300     1.0012930   -0.0044782     0.9987490   -0.0044363    -0.0000267    0.0031119 
   0.002990897     0.0002271    0.0030696     1.0013620   -0.0045171     0.9986842   -0.0045014    -0.0000396    0.0031221 
   0.003009467     0.0002287    0.0030942     1.0013690   -0.0046025     0.9987114   -0.0045179    -0.0000272    0.0031267 
   0.003028152     0.0002511    0.0031107     1.0013590   -0.0045852     0.9987525   -0.0045387    -0.0000315    0.0031538 
   0.003046954     0.0002275    0.0031310     1.0012910   -0.0045881     0.9986798   -0.0045233    -0.0000267    0.0031708 
   0.003065872     0.0002352    0.0031354     1.0013520   -0.0046174     0.9987283   -0.0046665    -0.0000319    0.0031775 
   0.003084908     0.0002186    0.0031647     1.0013890   -0.0047153     0.9986924   -0.0046955    -0.0000393    0.0032125 
   0.003104061     0.0002310    0.0031826     1.0012920   -0.0046772     0.9986871   -0.0047333    -0.0000363    0.0032269 
   0.003123334     0.0002302    0.0031988     1.0013020   -0.0047754     0.9987178   -0.0047683    -0.0000289    0.0032391 
   0.003142727     0.0002186    0.0032191     1.0013180   -0.0047419     0.9986319   -0.0047473    -0.0000269    0.0032757 
   0.003162239     0.0002311    0.0032561     1.0013590   -0.0048274     0.9986941   -0.0047553    -0.0000235    0.0032917 
   0.003181873     0.0002327    0.0032766     1.0013120   -0.0047968     0.9986349   -0.0048651    -0.0000519    0.0033078 
   0.003201629     0.0002324    0.0032853     1.0013810   -0.0049794     0.9986391   -0.0048423    -0.0000342    0.0033071 
   0.003221508     0.0002452    0.0033213     1.0013520   -0.0049437     0.9986681   -0.0047767    -0.0000350    0.0033323 
   0.003241510     0.0002375    0.0033277     1.0012710   -0.0049391     0.9987110   -0.0050047    -0.0000451    0.0033600 
   0.003261636     0.0002471    0.0033432     1.0013480   -0.0049588     0.9987458   -0.0049285    -0.0000289    0.0033952 
   0.003281887     0.0002429    0.0033761     1.0014010   -0.0050777     0.9987374   -0.0049976    -0.0000252    0.0033895 
   0.003302264     0.0002279    0.0034138     1.0013240   -0.0050940     0.9986153   -0.0050063    -0.0000394    0.0034295 
   0.003322767     0.0002428    0.0034417     1.0013110   -0.0050610     0.9986794   -0.0049163    -0.0000147    0.0034557 
   0.003343398     0.0002556    0.0034507     1.0013540   -0.0051135     0.9987091   -0.0049601    -0.0000341    0.0034664 
   0.003364156     0.0002614    0.0034663     1.0013410   -0.0050991     0.9986773   -0.0050488    -0.0000245    0.0034939 
   0.003385044     0.0002574    0.0035021     1.0014250   -0.0051884     0.9986625   -0.0051368    -0.0000251    0.0035058 
   0.003406061     0.0002527    0.0035112     1.0013840   -0.0052176     0.9987652   -0.0051953    -0.0000224    0.0035130 
   0.003427209     0.0002623    0.0035554     1.0013790   -0.0052089     0.9987631   -0.0052144    -0.0000257    0.0035474 
   0.003448488     0.0002604    0.0035690     1.0013450   -0.0052865     0.9987022   -0.0052149    -0.0000224    0.0035616 
   0.003469899     0.0002526    0.0035962     1.0012780   -0.0053423     0.9986620   -0.0052377    -0.0000268    0.0035884 
   0.003491444     0.0002659    0.0036099     1.0013410   -0.0053233     0.9987506   -0.0053247    -0.0000191    0.0035831 
   0.003513122     0.0002761    0.0036207     1.0012970   -0.0053224     0.9987133   -0.0053475    -0.0000278    0.0036198 
   0.003534934     0.0002665    0.0036633     1.0013340   -0.0053735     0.9986930   -0.0054034    -0.0000301    0.0036543 
   0.003556882     0.0002729    0.0036762     1.0012890   -0.0053893     0.9987289   -0.0054042    -0.0000241    0.0036709 
   0.003578966     0.0002789    0.0036959     1.0013850   -0.0054963     0.9987337   -0.0054108    -0.0000182    0.0036833 
   0.003601188     0.0002640    0.0036675     1.0015680   -0.0057170     0.9986423   -0.0055363    -0.0000348    0.0037066 
   0.003623547     0.0003168    0.0037453     1.0013540   -0.0053964     0.9984730   -0.0052730    -0.0000119    0.0037657 
   0.003646045     0.0002818    0.0037523     1.0012810   -0.0056011     0.9988554   -0.0057436    -0.0000272    0.0037409 
   0.003668683     0.0002781    0.0037475     1.0013830   -0.0056974     0.9987748   -0.0059314    -0.0000459    0.0037640 
   0.003691461     0.0002735    0.0037803     1.0015140   -0.0060379     0.9987515   -0.0056470    -0.0000157    0.0037840 
   0.003714381     0.0003017    0.0038155     1.0012600   -0.0057780     0.9985889   -0.0056117    -0.0000314    0.0038288 
   0.003737443     0.0002864    0.0038296     1.0013630   -0.0057257     0.9986653   -0.0057600    -0.0000305    0.0038473 
   0.003760649     0.0002782    0.0038455     1.0013230   -0.0058467     0.9986637   -0.0057420    -0.0000287    0.0038774 
   0.003783998     0.0002729    0.0038566     1.0014030   -0.0058452     0.9986022   -0.0057479    -0.0000142    0.0038758 
   0.003807492     0.0002770    0.0039030     1.0013740   -0.0058037     0.9986461   -0.0058643    -0.0000240    0.0039129 
   0.003831133     0.0002581    0.0039329     1.0012750   -0.0058455     0.9987258   -0.0058229    -0.0000182    0.0039426 
   0.003854920     0.0002687    0.0039657     1.0013020   -0.0058643     0.9987676   -0.0059216    -0.0000102    0.0039561 
   0.003878854     0.0002690    0.0039836     1.0013250   -0.0059342     0.9987233   -0.0059027    -0.0000142    0.0039729 
   0.003902938     0.0002600    0.0040180     1.0013360   -0.0060421     0.9987141   -0.0060211    -0.0000038    0.0039983 
