! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:41:57 PM
! D:\MESURE_MONTURE_07092022\LIGNE_25MM_VIDE.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.002127911    -0.0000284    0.0014704     1.0009750   -0.0023765     0.9989102   -0.0019289    -0.0002591    0.0016463 
   0.002141123     0.0000008    0.0015238     1.0008020   -0.0021694     0.9989303   -0.0020167    -0.0002613    0.0016518 
   0.002154417    -0.0000018    0.0015347     1.0008120   -0.0021289     0.9988456   -0.0019531    -0.0002485    0.0016837 
   0.002167794    -0.0000066    0.0015118     1.0010740   -0.0024085     0.9989702   -0.0021012    -0.0002444    0.0016610 
   0.002181253     0.0000042    0.0015371     1.0009710   -0.0021519     0.9989671   -0.0020952    -0.0002406    0.0016835 
   0.002194796    -0.0000019    0.0015526     1.0010120   -0.0023283     0.9988693   -0.0020073    -0.0002479    0.0016881 
   0.002208424     0.0000195    0.0015551     1.0010130   -0.0023054     0.9990021   -0.0020316    -0.0002426    0.0017166 
   0.002222136     0.0000021    0.0015624     1.0010300   -0.0024123     0.9990099   -0.0020547    -0.0002572    0.0017059 
   0.002235932     0.0000175    0.0015684     1.0010900   -0.0022980     0.9990104   -0.0020914    -0.0002437    0.0017094 
   0.002249815    -0.0000008    0.0015833     1.0010840   -0.0023504     0.9990091   -0.0020994    -0.0002336    0.0017207 
   0.002263784     0.0000107    0.0015932     1.0010830   -0.0023623     0.9990022   -0.0020712    -0.0002297    0.0017376 
   0.002277839     0.0000006    0.0016246     1.0010330   -0.0023985     0.9989309   -0.0020620    -0.0002421    0.0017601 
   0.002291982     0.0000185    0.0016273     1.0010400   -0.0023707     0.9990264   -0.0020943    -0.0002209    0.0017499 
   0.002306213    -0.0000028    0.0016465     1.0009950   -0.0024104     0.9990165   -0.0022402    -0.0002528    0.0017835 
   0.002320532     0.0000068    0.0016479     1.0010370   -0.0023803     0.9990222   -0.0022660    -0.0002288    0.0017791 
   0.002334940     0.0000094    0.0016663     1.0010420   -0.0024748     0.9989866   -0.0022121    -0.0002516    0.0018006 
   0.002349437     0.0000062    0.0016815     1.0010930   -0.0023851     0.9989327   -0.0022110    -0.0002221    0.0017997 
   0.002364025    -0.0000051    0.0016918     1.0009510   -0.0025301     0.9989792   -0.0022018    -0.0002308    0.0018233 
   0.002378702     0.0000097    0.0017041     1.0010660   -0.0025252     0.9989788   -0.0022317    -0.0002273    0.0018420 
   0.002393472     0.0000300    0.0017228     1.0010960   -0.0024448     0.9990597   -0.0022261    -0.0002403    0.0018482 
   0.002408332    -0.0000136    0.0017294     1.0009670   -0.0025503     0.9989958   -0.0022474    -0.0002281    0.0018521 
   0.002423285     0.0000181    0.0017538     1.0009930   -0.0024429     0.9989097   -0.0022288    -0.0002412    0.0018738 
   0.002438331    -0.0000016    0.0017669     1.0010670   -0.0025297     0.9990870   -0.0022527    -0.0002191    0.0018581 
   0.002453471     0.0000041    0.0017789     1.0009850   -0.0025065     0.9991134   -0.0022925    -0.0002336    0.0018993 
   0.002468704    -0.0000055    0.0017993     1.0010180   -0.0026201     0.9990389   -0.0024047    -0.0002339    0.0018840 
   0.002484032     0.0000115    0.0018271     1.0010550   -0.0026249     0.9989700   -0.0022739    -0.0002532    0.0019189 
   0.002499455     0.0000213    0.0018281     1.0010960   -0.0026126     0.9989390   -0.0023114    -0.0002392    0.0019378 
   0.002514974     0.0000279    0.0018501     1.0011190   -0.0025788     0.9989550   -0.0024454    -0.0002472    0.0019364 
   0.002530589     0.0000331    0.0018554     1.0010990   -0.0026727     0.9990345   -0.0023664    -0.0002197    0.0019350 
